INC1,INCOME,Description,Total household income (before taxes),In 2021 what was your total household income before taxes? Select only one answer.
,,Values,"1) Less than $25,000  
2) $25,000 - $34,999  
3) $35,000 - $49,999   
4) $50,000 - $74,999   
5) $75,000 - $99,999   
6) $100,000 - $149,999   
7) $150,000 - $199,999
8) $200,000 and above
-99) Question seen but category not selected
-88) Missing / Did not report",
,,Universe,All persons born before 2004,
,,Internal Notes,,
-,EST_ST,Description,State,
,,Values,"                    '01'='Alabama'
                    '02'='Alaska'
                    '04'='Arizona'
                    '05'='Arkansas'
                    '06'='California'
                    '08'='Colorado'
                    '09'='Connecticut'
                    '10'='Delaware'
                    '11'='District of Columbia'
                    '12'='Florida'
                    '13'='Georgia'
                    '15'='Hawaii'
                    '16'='Idaho'
                    '17'='Illinois'
                    '18'='Indiana'
                    '19'='Iowa'
                    '20'='Kansas'
                    '21'='Kentucky'
                    '22'='Louisiana'
                    '23'='Maine'
                    '24'='Maryland'
                    '25'='Massachusetts'
                    '26'='Michigan'
                    '27'='Minnesota'
                    '28'='Mississippi'
                    '29'='Missouri'
                    '30'='Montana'
                    '31'='Nebraska'
                    '32'='Nevada'
                    '33'='New Hampshire'
                    '34'='New Jersey'
                    '35'='New Mexico'
                    '36'='New York'
                    '37'='North Carolina'
                    '38'='North Dakota'
                    '39'='Ohio'
                    '40'='Oklahoma'
                    '41'='Oregon'
                    '42'='Pennsylvania'
                    '44'='Rhode Island'
                    '45'='South Carolina'
                    '46'='South Dakota'
                    '47'='Tennessee'
                    '48'='Texas'
                    '49'='Utah'
                    '50'='Vermont'
                    '51'='Virginia'
                    '53'='Washington'
                    '54'='West Virginia'
                    '55'='Wisconsin'
                    '56'='Wyoming'",
,,Universe,,
,,Internal Notes,,
-,SCRAM,Description,Record identifier,-
,,Values,Varying,
,,Universe,All persons,
,,Internal Notes,Unique record ID for linking replicate weights. Was also used for longitudinal linking for cycles 1-12. ,
-,WEEK,Description,Week of interview,-
,,Values,49,
,,Universe,All persons,
,,Internal Notes,,
